texto
'@pabllovittar '
'rt @toplessinrio: dúvidas para nós não  http://tco/egqdxv5fyv'
"'aula de históriachamada joaquim teixeira ausente, zé di camargo ausente, alexandre frota ausente,  #sabadodetremurasdv https://tco/y3gml6gpdo'"
'dormiu durante o trabalho pra depois sair pelo brasil dizendo asneiras autoritárias  https://tco/gnbjtfbpyd'
'rt @anagomyde: dormiu durante o trabalho pra depois sair pelo brasil dizendo asneiras autoritárias  https://tco/gnbjtfbpyd'
'rt @anagomyde: dormiu durante o trabalho pra depois sair pelo brasil dizendo asneiras autoritárias  https://tco/gnbjtfbpyd'
'rt @anagomyde: dormiu durante o trabalho pra depois sair pelo brasil dizendo asneiras autoritárias  https://tco/gnbjtfbpyd'
'rt @anagomyde: dormiu durante o trabalho pra depois sair pelo brasil dizendo asneiras autoritárias  https://tco/gnbjtfbpyd'
'rt @anagomyde: dormiu durante o trabalho pra depois sair pelo brasil dizendo asneiras autoritárias  https://tco/gnbjtfbpyd'
'rt @anagomyde: dormiu durante o trabalho pra depois sair pelo brasil dizendo asneiras autoritárias  https://tco/gnbjtfbpyd'
'#foratemer #foradilma  não sabemos o que virá mas não é nada do que estamos vendo e se não prestar #forafulano não desistimos'
"'tem dia que a gente acorda, lê o feed e quer voltar a dormir mas, lembra que caixa nenhuma se fará sozinha, manda um  e vive'"
'@ilguerra_ '
'nesse momento estou com a tv desligada em protesto a propaganda política obrigatória do partido nojento bolsonaro  '
"'sujeito não entende de economia,de saúde,ao sabe falar em armas e matar bandido '"
'não entendo uma mulher apoiar e defender um machista nojento como bolsonaro pior responder meus tweet com ofensas 🤔 '
"'que propaganda eleitoral mais ridícula foi essa de agora, querendo fazer lavagem cerebral patriotismo é o cacete  😒😪 https://tco/1hajzugvlp'"
'quando @felipeandreoli e @oserginho falam de liberdade da imprensa no prêmio @comuniquese só quero gritar '
'oi  bolsonaro mais perdido que jegue no deserto 😂   https://tco/yhtddxsupy'
'rt @robertaandradee: oi  bolsonaro mais perdido que jegue no deserto 😂   https://tco/yhtddxsupy'
'esse caba do fiteiro me representa geral ❤ @dmitrib  #antifascista https://tco/os7tij1wnu'
'pessoas sensatas: ai bolsonaro eh um lixo toxico machista homofobico so fala merda   eleitores dele: amas o lula'
"'quanto mais armas, mais violência e mortes #estatutododesarmamentosim #chegadearmas #forabancadadabala  https://tco/qazhwznyho'"
'rt @robertaandradee: oi  bolsonaro mais perdido que jegue no deserto 😂   https://tco/yhtddxsupy'
'outdoor vandalizado por jatos de mortadela https://tco/jt1g8lztcd  aqui é jato de mortadela simmmm 😂😂😂😂😂😂😂😂'
"'pelo amor de deus não deixem jair bolsonaro ser presidente desse brasil nunca pedi nada, mas, ele não gente  #foratemer'"
' #foraditadura https://tco/dmbxeoibt8'
"'preparem-se, quando bolsonaro for eleito vão criar a  tipo #foratemer isso vai derrubar o nosso presidente 😭😭'"
'deus me livre desse título   #forasargentolobo https://tco/z91iou3qde'
'rt @anselm_o:  #antifascistasempre #antifa #antinazi #antinacionalismo #antifascista https://tco/urg3ldnfl7'
'@brasil247 seguidores de bolstonaro 💩desesperados   '
