idUser,description,lang,location,profileImageUrl,friendCount,statusesCount,favouritesCount,followersCount
1708119518,,pt,rj,http://pbs.twimg.com/profile_images/731482546685382660/6gOvjhYN_normal.jpg,3064.0,112263.0,85986.0,1651.0
1228459164,Em defesa do legado de Lula ;,pt,Brasil,http://pbs.twimg.com/profile_images/591031753436962816/qvCpGJm4_normal.png,555.0,7254.0,53.0,1086.0
578126348,NÃO GOSTOU?CHUPA MEU CÚ!,pt,RAIO QUE O PARTA,http://pbs.twimg.com/profile_images/2212239371/alborghetti2_normal.JPG,75.0,262.0,21.0,207.0
4127008102,"Do lado da História dos que não deixam faltar comida, teto e estudo aos irmãos, pricipalmente aos mais necessitados... Que assim seja!!!💚💛💙🐦💖",pt,,http://pbs.twimg.com/profile_images/864382880172167168/cvkcp-fb_normal.jpg,548.0,26906.0,22088.0,601.0
244722293,"Solteiro, baiano, Flamenguista é claro. Adoro esporte, festas e viajar. #VamosFlamengo",pt,brasil,http://pbs.twimg.com/profile_images/881763807919575041/FycRSPXW_normal.jpg,1921.0,11559.0,11952.0,558.0
870997440022839296,"Me chama de corrupto porra!
#Política #Opinião #Bolsonaro2018",pt,,http://pbs.twimg.com/profile_images/870999230948814848/hSgjIxMI_normal.jpg,0.0,200.0,46.0,13.0
2525592608,"Na natureza nada se perde, nada se cria tudo se transforma 
(Antoine Lavoisier)",pt,"Springfield, #07Setembro ",http://pbs.twimg.com/profile_images/896935329470574592/eCt1qa0u_normal.jpg,5004.0,38544.0,32113.0,4129.0
69866064,"Sou dentista por profissão,amante dos animais e das pessoas simples de coração.   #AntiPT #MoroOrgulhoBrasileiro",pt,BRASIL-NITERÓI RJ,http://pbs.twimg.com/profile_images/910496777392001025/QnqdGhBf_normal.jpg,1324.0,24155.0,10759.0,1366.0
155674026,"A vida não é medida pela quantidade de vezes que respiramos, mas pelos momentos que nos tiram a respiração.

George Carlin",pt,Limeira SP,http://pbs.twimg.com/profile_images/891390587638878208/mTw9m9sm_normal.jpg,2048.0,75208.0,19705.0,2515.0
827543419136380929,,pt,,http://pbs.twimg.com/profile_images/857801621245493248/0uA6Phz3_normal.jpg,39.0,248.0,221.0,9.0
707496591914090496,#CPIDaMafiaDasDelaçõesJÁ. Contra Judiciário Seletivo e Parcial que condena S/provas e da privilégios a réus confessos em troca de delações suspeitas. Fé em Deus,pt,,http://pbs.twimg.com/profile_images/909207242121105409/12ggehug_normal.jpg,751.0,28252.0,52414.0,1031.0
91096187,,pt,"Nova Friburgo, Brasil",http://pbs.twimg.com/profile_images/882771400909619200/J8kbZXdw_normal.jpg,950.0,36137.0,16253.0,790.0
112680568,"https://t.co/aDPblmv2t3
Formação Publicidade e Propaganda. ArteFinal, Design Grafico, Manipulação, recortte e tratamento de imagens. Piracicaba, SP",pt,Brasil,http://pbs.twimg.com/profile_images/644859766230122496/6fI6lauM_normal.jpg,222.0,17059.0,188.0,110.0
55986398,"Militar de 💚💛, Piloto Comercial, Prof. de TI, Apoio Gal Mourão @JairBolsonaro @MagnoMaltaOfc @anaamelialemos Gal Etchegoyen por um Brasil livre de corrupção",pt,SÃO PAULO,http://pbs.twimg.com/profile_images/837476372150960130/PTCKi1_g_normal.jpg,6039.0,79259.0,26351.0,5565.0
