'rt @gilmargdss: #lulareu mais uma vez na operação #zelotes veja no link abixo https://tco/w30fyx9d5u   #lavajato #lula…'
'rt @gilmargdss: veja a discussão do #lula com juiz #sérgiomoro no link https://tco/pzea98knpg #lulapreso   $bolsomito #bolsonaro #b…'
'rt @gilmargdss: veja no link abaixo o depoimento de palocci ao juiz sérgio moro  https://tco/7uarnsgpzf #lavajato #lavajato  #lulan…'
"'rt @gilmargdss: janot denuncia lula, dilma, gleisi,palocci, edinho, mantega, paulo bernardo e vaccari https://tco/90tolnuqwi    #fo…'"
'@ronaldocaiado '
'rt @osvladpereira: ricardo noblat do globo pede a prisão do general mourão: este general merece ser preso  … '
'rt @emyissotbmpassa: dá pra lutar manisfetar cobrar por um #foratemer  #emillyaraujonopjb  dá tbm pra dizer q tu q é insign… '
'2011: lula descansa em seu sítio em atibaia com visita de dilma  mentira tem perna curta  https://tco/774nyhp8hp'
'rt @jaimenc: 2011: lula descansa em seu sítio em atibaia com visita de dilma  mentira tem perna curta  https://tco/774nyhp8…'
'rt @vieirabazilio: @lulapelobrasil pariram recibos agora o glauco costa marques já falou que não recebeu o aluguel por 5 anos '
'@felipesenaes boa sugestão pra nome de partido quem vota em pmdb e pt é safado ou muito burro mesmo  #forapmdb (otário quem urrou o fora te'
'rt @osvladpereira: ricardo noblat do globo pede a prisão do general mourão: este general merece ser preso  … '
'rt @jaimenc: 2011: lula descansa em seu sítio em atibaia com visita de dilma  mentira tem perna curta  https://tco/774nyhp8…'
'rt @mary_greicy:     #emendalulanão  #fundopartidárionão https://tco/8wejdoiqka'
'#euconfioemzedirceu ele vai entregar o lula e vamos viver para ver '
'#gotrump  #foratemer https://tco/sbp8t3ybvl'
'#gotrump  #foratemer #bolsonaro2018 https://tco/95ocfrnkzf'
'#gotrump  #foratemer #bolsonaro2018 https://tco/7jjzpvwkep'
'#gotrump  #foratemer #bolsonaro2018 https://tco/hon9npmvyj'
'#gotrump  #foratemer #bolsonaro2018 https://tco/rgeedpprdk'
'@o_antagonista incrivel seria ate preocupante se nossas nobres e carissimas instituições não funcionassem tão bem  profissionalizem a porr'
'rt @deadabarra: via @estadao: odebrecht entrega recibos de doação de r$ 4 mi ao instituto lula -  https://tco/bsvhoypmtv    …'
'#gotrump  #foratemer #bolsonaro2018 https://tco/rkiiefqwhs'
'#gotrump  #foratemer #bolsonaro2018 https://tco/9dfhjvwezs'
'#gotrump  #foratemer #bolsonaro2018 https://tco/obkzf8goeg'
'#gotrump  #foratemer #bolsonaro2018 https://tco/azptw3qhlr'
"'@alefrotabrasil @jose_neumanne concordo e,  além do mais, devemos respeitar a fila amigos 😉😉😉   #dilmanacadeia #gleisinacadeia leve'
'mais prova contra lula já pode vela para prisão  #intervencaomilitar https://tco/uzkruhkita'
'#foratodos   https://tco/crsytxyq7q'
'rt @bhuoriescaussoy: odebrecht entrega recibos de doação de r$ 4 mi ao instituto lula  https://tco/03esqemgm2'
'rt @osvladpereira: ricardo noblat do globo pede a prisão do general mourão: este general merece ser preso  … '
'@rosevplb essa é a senzala dele né '
"'rt @marizmarcella: @alefrotabrasil @jose_neumanne concordo e,  além do mais, devemos respeitar a fila amigos 😉😉😉 … '"
"'@estadao @jpacheco_adv recibo da petrobras, bndes, caixa, fundos de pensão, previdência tem também '"
'agora inês é morta  tiveram seu tempo   https://tco/u5pi8cmhep'
"'@blogdojefferson lula em 2018 será preso alguém tem que situar a gleisi está muito desinformada, coitada o brasil que queremos é com '"
