Original Lines,OPINIONLEXICON,SENTISTRENGTH,SOCAL,HAPPINESSINDEX,SANN,EMOTICONSDS,SENTIMENT140,STANFORD,AFINN,MPQA,NRCHASHTAG,EMOLEX,EMOTICONS,PANAST,SASA,SENTIWORDNET,VADER,UMIGON
"""'rt @mark_senkd:   agora que os sem-terras possuem terras, mas continuam nas ruas e não trabalhando nelas, nós p… '""",Neutral,Neutral,Neutral,Neutral,Positive,Positive,Negative,Negative,Neutral,Neutral,Negative,Positive,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
'https://tco/83gmhwynom … ruy barbosa - não se deixem enganar pelos cabelos brancos pois os canalhas também envelhecem  https://tco/eup46zu',Negative,Negative,Negative,Positive,Negative,Positive,Negative,Negative,Neutral,Negative,Negative,Positive,Neutral,Neutral,Negative,Negative,Neutral,Neutral
'https://tco/83gmhwynom … ruy barbosa - não se deixem enganar pelos cabelos brancos pois os canalhas também envelhecem  https://tco/bfzxxgu',Negative,Negative,Negative,Positive,Negative,Positive,Negative,Negative,Neutral,Negative,Negative,Positive,Neutral,Neutral,Negative,Negative,Neutral,Neutral
'https://tco/83gmhwynom … ruy barbosa - não se deixem enganar pelos cabelos brancos pois os canalhas também envelhecem  https://tco/6aagwm7',Negative,Negative,Negative,Positive,Negative,Positive,Negative,Negative,Neutral,Negative,Negative,Positive,Neutral,Neutral,Negative,Negative,Neutral,Neutral
'https://tco/83gmhwynom … ruy barbosa - não se deixem enganar pelos cabelos brancos pois os canalhas também envelhecem  https://tco/dk2crr8',Negative,Negative,Negative,Positive,Negative,Positive,Negative,Negative,Neutral,Negative,Negative,Positive,Neutral,Neutral,Negative,Negative,Neutral,Neutral
'https://tco/83gmhwynom … ruy barbosa - não se deixem enganar pelos cabelos brancos pois os canalhas também envelhecem  https://tco/qkph4s5',Negative,Negative,Negative,Positive,Negative,Positive,Negative,Negative,Neutral,Negative,Negative,Positive,Neutral,Neutral,Negative,Negative,Neutral,Neutral
"""'rt @mark_senkd:   agora que os sem-terras possuem terras, mas continuam nas ruas e não trabalhando nelas, nós p… '""",Neutral,Neutral,Neutral,Neutral,Positive,Positive,Negative,Negative,Neutral,Neutral,Negative,Positive,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
'https://tco/83gmhwynom … ruy barbosa - não se deixem enganar pelos cabelos brancos pois os canalhas também envelhecem  https://tco/g2ufdbs',Negative,Negative,Negative,Positive,Negative,Positive,Negative,Negative,Neutral,Negative,Negative,Positive,Neutral,Neutral,Negative,Negative,Neutral,Neutral
'https://tco/83gmhwynom … ruy barbosa - não se deixem enganar pelos cabelos brancos pois os canalhas também envelhecem  https://tco/kyglr9w',Negative,Negative,Negative,Positive,Negative,Positive,Negative,Negative,Neutral,Negative,Negative,Positive,Neutral,Neutral,Negative,Negative,Neutral,Neutral
'https://tco/83gmhwynom … ruy barbosa - não se deixem enganar pelos cabelos brancos pois os canalhas também envelhecem  https://tco/trcm3r0',Negative,Negative,Negative,Positive,Negative,Positive,Negative,Negative,Neutral,Negative,Negative,Positive,Neutral,Neutral,Negative,Negative,Neutral,Neutral
'https://tco/83gmhwynom … ruy barbosa - não se deixem enganar pelos cabelos brancos pois os canalhas também envelhecem  https://tco/x6ouqoj',Negative,Negative,Negative,Positive,Negative,Positive,Negative,Negative,Neutral,Negative,Negative,Positive,Neutral,Neutral,Negative,Negative,Neutral,Neutral
"""'@lidicedamata @ptbrasil @psbnacional40 @gleisi @pauloteixeira13 @carloszarattini @csiqueirapsb @marciofranca40 @geraldojuliopsb @casagrande_e'",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
"""'rt @mark_senkd:   agora que os sem-terras possuem terras, mas continuam nas ruas e não trabalhando nelas, nós p… '""",Neutral,Neutral,Neutral,Neutral,Positive,Positive,Negative,Negative,Neutral,Neutral,Negative,Positive,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
'https://tco/83gmhwynom … ruy barbosa - não se deixem enganar pelos cabelos brancos pois os canalhas também envelhecem  https://tco/vicxv2h',Negative,Negative,Negative,Positive,Negative,Positive,Negative,Negative,Neutral,Negative,Negative,Positive,Neutral,Neutral,Negative,Negative,Neutral,Neutral
