Original Lines,OPINIONLEXICON,SENTISTRENGTH,SOCAL,HAPPINESSINDEX,SANN,EMOTICONSDS,SENTIMENT140,STANFORD,AFINN,MPQA,NRCHASHTAG,EMOLEX,EMOTICONS,PANAST,SASA,SENTIWORDNET,VADER,UMIGON
texto,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
'@odimau @gduvivier não adianta: pelegos do pt têm merda na cabeça  gosta de comunista ladrãovai pra cuba ver o que ébom #bolsonaro2018 ht',Positive,Neutral,Negative,Neutral,Neutral,Positive,Negative,Negative,Negative,Neutral,Negative,Negative,Neutral,Neutral,Neutral,Negative,Neutral,Negative
'#facebookmelhorredesossial #brasilqueopovoquer  #estudar #aprender #seralguemnavida #trabalhar    #quintadetremurasdv https://tco/hvh93sxywf',Neutral,Neutral,Neutral,Positive,Positive,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
'#brasilqueopovoquer é com  juntamente com outros quem tem medo de intervenção militar é só político corrupto #bolsonaro2018',Negative,Negative,Neutral,Negative,Negative,Positive,Negative,Neutral,Negative,Negative,Negative,Negative,Neutral,Neutral,Positive,Negative,Neutral,Neutral
' https://tco/gbdrjtlvyo',Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
'  #lulainelegivel https://tco/qa0lybp8sv',Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
'rt @titoporto10: #brasilqueopovoquer  https://tco/ksr65ebc2b',Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
'@uolnoticias #brasilopaisdaimpinidade @uolnoticias vcs deveriam ter vergonha sem anunciar isto  safado corrupto beneficiado pela impunidade ht',Negative,Negative,Neutral,Negative,Neutral,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Negative,Negative,Neutral,Negative
"""'puta que pariu, abaixa essa bandeira e levanta a do brasil  #oportunista  #lulaparasita https://tco/nlkzycxgq0'""",Neutral,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Neutral,Negative,Neutral,Neutral,Positive,Negative,Negative,Neutral
'rt @ezequiasns:  https://tco/wynqtnn3jy',Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
