Original Lines,OPINIONLEXICON,SENTISTRENGTH,SOCAL,HAPPINESSINDEX,SANN,EMOTICONSDS,SENTIMENT140,STANFORD,AFINN,MPQA,NRCHASHTAG,EMOLEX,EMOTICONS,PANAST,SASA,SENTIWORDNET,VADER,UMIGON
"'rt @lindberghfarias: o que n�_s queremos ̩ igualdade de oportunidades, igualdade de condi̵̤es  https://tco/h3hwcolkog';;",Neutral,Neutral,Positive,Neutral,Positive,Positive,Neutral,Negative,Positive,Positive,Positive,Positive,Neutral,Neutral,Positive,Negative,Neutral,Neutral
'rt @lindberghfarias: eu tb estou aqui em bh com lula e dilma  https://tco/jz6yilu7tb';;,Neutral,Neutral,Neutral,Neutral,Positive,Positive,Positive,Negative,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
'rt @ericalima32: bora ajudar a fazer mais caravanas pessoal #financiamentocoletivo  https://tco/hmd1ijxsnq';;,Neutral,Neutral,Positive,Neutral,Positive,Positive,Positive,Negative,Positive,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
"'rt @ptbrasil: companheira, companheiro, precisamos da sua ajuda para financiar a caravana de  participe��_ ';;",Neutral,Positive,Positive,Neutral,Neutral,Positive,Positive,Negative,Positive,Neutral,Negative,Positive,Neutral,Neutral,Negative,Positive,Neutral,Neutral
'rt @lindberghfarias: eu tb estou aqui em bh com lula e dilma  https://tco/jz6yilu7tb';;,Neutral,Neutral,Neutral,Neutral,Positive,Positive,Positive,Negative,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
"'lula ladṛo, roubou meu _���   #lulaporminasgerais  #lula2018 https://tco/1bmgbd22po';;",Negative,Negative,Negative,Neutral,Negative,Positive,Negative,Negative,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
'rt @ericalima32: bora ajudar a fazer mais caravanas pessoal #financiamentocoletivo  https://tco/hmd1ijxsnq';;,Neutral,Neutral,Positive,Neutral,Positive,Positive,Positive,Negative,Positive,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
"'rt @jfmargarida: ̩ um mar de gente gritando: lula, guerreiro, do povo brasileiro #lulaporminasgerais  https://tco/ypb87gte��_';;",Neutral,Neutral,Neutral,Positive,Positive,Positive,Positive,Negative,Neutral,Neutral,Negative,Positive,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
'rt @ericalima32: bora ajudar a fazer mais caravanas pessoal #financiamentocoletivo  https://tco/hmd1ijxsnq';;,Neutral,Neutral,Positive,Neutral,Positive,Positive,Positive,Negative,Positive,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
'rt @gimg__: @tsejusbr s�_ o tse que finge ṇo enxergar a campanha eleitoral do  ̩ sua turma   https://tco/nwdv0jr7yn';;,Neutral,Neutral,Neutral,Neutral,Negative,Positive,Positive,Negative,Negative,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
"'rt @lindberghfarias: como bem disse o lula, olha a�_ o pinguinho de gente registrado pelo drone  https://tco/nvdngifw2d';;",Positive,Neutral,Positive,Neutral,Positive,Positive,Positive,Negative,Neutral,Neutral,Positive,Negative,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
"'a viagem lula por minas gerais j�� acabou, mas ainda ̩ poss�_vel ajudar no financiamento do projeto   https://tco/zdzjzmm5gv https://tco/evm8'",Neutral,Neutral,Positive,Neutral,Negative,Positive,Negative,Negative,Positive,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Positive,Positive,Neutral
"'rt @mmccbn: lula ladṛo, roubou meu _���   #lulaporminasgerais  #lula2018 https://tco/1bmgbd22po';;",Negative,Negative,Negative,Neutral,Positive,Positive,Negative,Negative,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
'rt @lulapelobrasil: esse pa�_s era respeitado l�� fora porque a gente aprendeu a se respeitar #lulaporminasgerais  https://tc��_';;,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Negative,Positive,Positive,Negative,Positive,Neutral,Neutral,Neutral,Positive,Positive,Positive
'rt @brasildamudanca: milhares de pessoas receberam @lulapelobrasil de bra̤os abertos em minas gerais  #lulaporminasgerais h��_';;,Neutral,Neutral,Neutral,Positive,Positive,Positive,Negative,Negative,Neutral,Neutral,Negative,Positive,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
"'rt @lindberghfarias: como bem disse o lula, olha a�_ o pinguinho de gente registrado pelo drone  https://tco/nvdngifw2d';;",Positive,Neutral,Positive,Neutral,Positive,Positive,Positive,Negative,Neutral,Neutral,Positive,Negative,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
"'rt @lindberghfarias: o que n�_s queremos ̩ igualdade de oportunidades, igualdade de condi̵̤es  https://tco/h3hwcolkog';;",Neutral,Neutral,Positive,Neutral,Positive,Positive,Neutral,Negative,Positive,Positive,Positive,Positive,Neutral,Neutral,Positive,Negative,Neutral,Neutral
"'rt @lindberghfarias: como bem disse o lula, olha a�_ o pinguinho de gente registrado pelo drone  https://tco/nvdngifw2d';;",Positive,Neutral,Positive,Neutral,Positive,Positive,Positive,Negative,Neutral,Neutral,Positive,Negative,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
'rt @ptbrasil:  @lulapelobrasil: vamos trazer a democracia de volta para esse pa�_s  #lulaporminasgerais foto: ri��_ ';;,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Negative,Negative,Neutral,Neutral,Negative,Positive,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
"'rt @lindberghfarias: o que n�_s queremos ̩ igualdade de oportunidades, igualdade de condi̵̤es  https://tco/h3hwcolkog';;",Neutral,Neutral,Positive,Neutral,Positive,Positive,Neutral,Negative,Positive,Positive,Positive,Positive,Neutral,Neutral,Positive,Negative,Neutral,Neutral
"'rt @humbertocostapt: lula participa de ato em minas gerais, na pra̤a da esta̤̣o, em bh   #lulaporminasgerais https://tco/8��_';;",Neutral,Neutral,Neutral,Negative,Positive,Positive,Positive,Negative,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
'rt @andretelesur: @lulapelobrasil acaba de llegar al acto  https://tco/q5cmyqxk9y';;,Neutral,Neutral,Positive,Neutral,Positive,Positive,Negative,Negative,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Positive,Positive,Neutral,Neutral
"'enquanto temer e os golpistas ṇo podem sair ��s ruas, lula viaja pelo brasil nos bra̤os do povo #lulaporminasgerais  https://tco/zjcjmj7wd5'",Negative,Negative,Negative,Positive,Neutral,Positive,Neutral,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Neutral,Negative,Negative,Neutral
'rt @andretelesur: @lulapelobrasil acaba de llegar al acto  https://tco/q5cmyqxk9y';;,Neutral,Neutral,Positive,Neutral,Positive,Positive,Negative,Negative,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Positive,Positive,Neutral,Neutral
"'rt @lindberghfarias: o que n�_s queremos ̩ igualdade de oportunidades, igualdade de condi̵̤es  https://tco/h3hwcolkog';;",Neutral,Neutral,Positive,Neutral,Positive,Positive,Neutral,Negative,Positive,Positive,Positive,Positive,Neutral,Neutral,Positive,Negative,Neutral,Neutral
"'rt @oconsciente: ptbrasii: obrigada cordisburgo, terra do guimaṛes rosa  #lulaporminasgerais https://tco/k06ju8c6uf';;",Positive,Positive,Positive,Neutral,Positive,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Neutral,Neutral,Neutral,Negative,Neutral,Positive
'rt @annalugama: transmisṣo  ao vivo do ato de @lulapelobrasil em bh b�_ra acompanhar #lulaporminasgerais  https://tco/��_';;,Neutral,Neutral,Neutral,Neutral,Positive,Positive,Positive,Negative,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
"'rt @oconsciente: ptbrasii: obrigada cordisburgo, terra do guimaṛes rosa  #lulaporminasgerais https://tco/k06ju8c6uf';;",Positive,Positive,Positive,Neutral,Positive,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Neutral,Neutral,Neutral,Negative,Neutral,Positive
'rt @gleisi: lindo ato na pra̤a da esta̤̣o em belo horizonte encerramento da caravana #lulaporminasgerais  https://tco/sec5��_';;,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Neutral,Neutral,Neutral,Positive,Positive,Positive
'rt @dilmaresiste: #aovivo #rt @lulapelobrasil em ato de encerramento da caravana de minas gerais  #lulaporminasgerais��_ ';;,Neutral,Neutral,Neutral,Neutral,Positive,Positive,Positive,Negative,Neutral,Neutral,Positive,Positive,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
'rt @lulapelobrasil: voc̻s sabem que eu ṇo seria nada sem minas gerais um abra̤o e at̩ mais #lulaporminasgerais ';;,Neutral,Neutral,Positive,Neutral,Positive,Positive,Negative,Negative,Neutral,Neutral,Negative,Positive,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
'rt @albertocantalic: colabore                                              ��_ ';;,Neutral,Neutral,Positive,Neutral,Positive,Positive,Positive,Negative,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
"'rt @ptbrasil: companheira, companheiro, ajude a financiar a caravana de  essa ̩ a hora clique e contribua:��_ ';;",Neutral,Neutral,Positive,Positive,Neutral,Positive,Positive,Positive,Positive,Neutral,Positive,Positive,Neutral,Neutral,Negative,Positive,Neutral,Neutral
"'rt @lindberghfarias: o que n�_s queremos ̩ igualdade de oportunidades, igualdade de condi̵̤es  https://tco/h3hwcolkog';;",Neutral,Neutral,Positive,Neutral,Positive,Positive,Neutral,Negative,Positive,Positive,Positive,Positive,Neutral,Neutral,Positive,Negative,Neutral,Neutral
