Original Lines,OPINIONLEXICON,SENTISTRENGTH,SOCAL,HAPPINESSINDEX,SANN,EMOTICONSDS,SENTIMENT140,STANFORD,AFINN,MPQA,NRCHASHTAG,EMOLEX,EMOTICONS,PANAST,SASA,SENTIWORDNET,VADER,UMIGON
"""'@fgamaperes @congemfoco @blogdonoblat opa, se vc apoiar o  eu apoio o #foratemer  e ai topa'""",Positive,Positive,Positive,Neutral,Positive,Positive,Positive,Negative,Positive,Positive,Negative,Positive,Neutral,Neutral,Negative,Positive,Positive,Neutral
'rt @ritaoli36702816: só não é burro pra saquear o país e enganar os seus eleitores  @ptbrasil @lulapelobrasil… ',Negative,Negative,Negative,Neutral,Positive,Positive,Negative,Negative,Negative,Neutral,Negative,Negative,Neutral,Neutral,Negative,Negative,Negative,Negative
'que seja preso logo  https://tco/cekvfby1uh',Neutral,Neutral,Neutral,Neutral,Positive,Positive,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive,Neutral,Neutral
'e o lula continua solto  https://tco/moepzrwqbi',Negative,Neutral,Negative,Neutral,Neutral,Positive,Negative,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Negative
'@chargecapital @congemfoco @blogdonoblat demais só estou no fora temer hoje por ser um momento especial afinal ele está no processo de compr',Negative,Negative,Neutral,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Positive,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
'revolução conservadora está acontecendo  #intervencaomilitar #gotrump  #foratemer #bolsonaro2018 https://tco/ejjpu0n0gx',Neutral,Negative,Negative,Neutral,Positive,Positive,Negative,Negative,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,Positive,Negative,Neutral,Neutral
'  #lulainelegivel https://tco/o8ksonzcec',Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
'rt @pastorliomar: a movimentação bancária da alma mais honesta desse país     https://tco/984rb7wrob',Positive,Neutral,Neutral,Positive,Positive,Positive,Negative,Positive,Positive,Positive,Negative,Positive,Neutral,Neutral,Positive,Positive,Positive,Positive
'#intervencaomilitar #gotrump  #foratemer #bolsonaro2018 https://tco/953dxgjkxb',Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
'pensei que só o lula fosse analfabeto até a defesa criou docs falsos e com datas inexistentes ????    https://tco/dstez9drnu',Negative,Negative,Negative,Positive,Positive,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Positive,Negative,Neutral,Negative
'rt @oliveira27m: que seja preso logo  https://tco/cekvfby1uh',Neutral,Neutral,Neutral,Neutral,Positive,Positive,Positive,Negative,Negative,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
'@oglobopolitica palocci sobre lula: até quando vamos fingir acreditar na autoproclamação do homem mais honesto do país  https://tco/puxg4b',Positive,Negative,Negative,Positive,Neutral,Positive,Negative,Neutral,Positive,Neutral,Negative,Neutral,Neutral,Neutral,Positive,Positive,Neutral,Positive
'estudantes e juristas protestam contra prêmio à lava jato no canadá @jose_neumanne @joicehasselmann @deltanmd #lavajato  https://tco/k08ntr',Positive,Negative,Neutral,Positive,Negative,Positive,Negative,Negative,Positive,Negative,Negative,Neutral,Neutral,Neutral,Negative,Positive,Neutral,Neutral
"""'@jornaloglobo vamos dar outra oportunidade, ela é simples, tem que criar trabalho para população raquel dodge estuda criar força-tarefa  '",Positive,Negative,Positive,Positive,Neutral,Positive,Negative,Positive,Positive,Neutral,Negative,Positive,Neutral,Neutral,Positive,Positive,Positive,Positive
"""'@euresendeslu vamos dar outra oportunidade, ela é simples, tem que criar trabalho para população raquel dodge estuda criar força-tarefa  '",Positive,Negative,Positive,Positive,Neutral,Positive,Negative,Positive,Positive,Neutral,Negative,Positive,Neutral,Neutral,Positive,Positive,Positive,Positive
'  #lulainelegivel https://tco/pxb4qwdjq8',Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
"""'rt @sandrarcreyes: lula apresentou recibo de aluguel c/ data inexistente, ou seja falso prendam logo esse sapo barbudo   htt…'""",Negative,Neutral,Neutral,Positive,Neutral,Positive,Positive,Negative,Negative,Negative,Positive,Negative,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
