Original Lines,OPINIONLEXICON,SENTISTRENGTH,SOCAL,HAPPINESSINDEX,SANN,EMOTICONSDS,SENTIMENT140,STANFORD,AFINN,MPQA,NRCHASHTAG,EMOLEX,EMOTICONS,PANAST,SASA,SENTIWORDNET,VADER,UMIGON
'rt @spd_33: ??apresento aqui a grande verdade‼️ #foraesquerda   https://tco/mpstxkkv7z',Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Neutral,Neutral,Positive,Positive,Positive,Positive
'rt @cintiakwy:  https://tco/ytyxqgailc',Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
'rt @cintiakwy:  https://tco/ytyxqgailc',Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
'rt @rogomonev: @n_carvalheira #foragilmar  #maduropreso #foratemer #foraaecio #mpindependente #3poderespodres #naoreelejaningu…',Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative
"""'@filho9999 @villamarcovilla @jornaloglobo @mblivre , @vemprarua_br : cadê vocês a vossa indignação era seletiva a minha não  #temernacad'",Positive,Negative,Negative,Negative,Neutral,Positive,Negative,Negative,Negative,Neutral,Negative,Negative,Neutral,Neutral,Neutral,Positive,Negative,Neutral
'rt @iabsilva2: é muita cara de pau   https://tco/x5khtznh7t',Neutral,Neutral,Neutral,Neutral,Positive,Positive,Positive,Negative,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
'rt @blogdotato67: #eleições em quem você votará para presidente em 2018   estará fora da disputa',Neutral,Neutral,Neutral,Neutral,Positive,Positive,Negative,Negative,Neutral,Negative,Negative,Positive,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
'rt @revoltadoonline: esta passando da hora de voltarmos as ruas e exigirmos nossos direitos    #votoimpresso  nas… ',Neutral,Negative,Neutral,Positive,Positive,Positive,Negative,Negative,Negative,Neutral,Negative,Negative,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
'rt @revoltadoonline: esta passando da hora de voltarmos as ruas e exigirmos nossos direitos    #votoimpresso  nas… ',Neutral,Negative,Neutral,Positive,Positive,Positive,Negative,Negative,Negative,Neutral,Negative,Negative,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
'@ricamconsult ',Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
'rt @iabsilva2: é muita cara de pau   https://tco/x5khtznh7t',Neutral,Neutral,Neutral,Neutral,Positive,Positive,Positive,Negative,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
"""'@reginaldolopes esse modelo político viciado  viciado é vc, seu retardado, alias deve ter cheirado muito, só pode #corruptos '""",Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Negative,Negative,Neutral
'era pra ser assim: eles estão mexendo com um político que não roubou pouco  #petralha https://tco/vjhg8kedzq',Negative,Neutral,Negative,Neutral,Positive,Positive,Negative,Neutral,Negative,Negative,Negative,Negative,Neutral,Neutral,Neutral,Negative,Neutral,Negative
'rt @cintiakwy:  https://tco/ytyxqgailc',Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
'rt @revoltadoonline: esta passando da hora de voltarmos as ruas e exigirmos nossos direitos    #votoimpresso  nas… ',Neutral,Negative,Neutral,Positive,Neutral,Positive,Negative,Negative,Negative,Neutral,Negative,Negative,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
'rt @cintiakwy:  https://tco/ytyxqgailc',Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
'rt @revoltadoonline: esta passando da hora de voltarmos as ruas e exigirmos nossos direitos    #votoimpresso  nas… ',Neutral,Negative,Neutral,Positive,Neutral,Positive,Negative,Negative,Negative,Neutral,Negative,Negative,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
'rt @blogdotato67: #eleições em quem você votará para presidente em 2018   estará fora da disputa',Neutral,Neutral,Neutral,Neutral,Positive,Positive,Negative,Negative,Neutral,Negative,Negative,Positive,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
'rt @ezequiasns:  https://tco/pafcyuzelx',Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
'rt @ezequiasns:  https://tco/pafcyuzelx',Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
'rt @helenafantini: #somostodosmoro   https://tco/2coi847kyi',Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
'rt @ezequiasns:  https://tco/pafcyuzelx',Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
'rt @gilmargdss: #lulareu mais uma vez na operação #zelotes veja no link abixo https://tco/w30fyx9d5u   #lavajato #lula…',Neutral,Neutral,Neutral,Positive,Neutral,Positive,Negative,Negative,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
'rt @gilmargdss: veja a discussão do #lula com juiz #sérgiomoro no link https://tco/pzea98knpg #lulapreso   $bolsomito #bolsonaro #b…',Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive,Negative,Neutral,Neutral,Positive,Positive,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
'rt @gilmargdss: veja no link abaixo o depoimento de palocci ao juiz sérgio moro  https://tco/7uarnsgpzf #lavajato #lavajato  #lulan…',Neutral,Neutral,Neutral,Positive,Neutral,Positive,Positive,Negative,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
"""'rt @gilmargdss: janot denuncia lula, dilma, gleisi,palocci, edinho, mantega, paulo bernardo e vaccari https://tco/90tolnuqwi    #fo…'""",Neutral,Neutral,Neutral,Neutral,Positive,Positive,Neutral,Negative,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
'rt @ezequiasns:  https://tco/pafcyuzelx',Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
"""'bolsa família mtos amigos falecidos estrangeiros recebiam no gov dilma lula bolsa família, até pravotar neles '""",Negative,Positive,Neutral,Positive,Positive,Positive,Negative,Negative,Negative,Neutral,Negative,Negative,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
'se o pt q era a soluçao de tudo não tivesse roubado por 13 anos não estávamos nessa mer  temer dilma e outros https://tco/hq0mdhx7tp',Negative,Negative,Negative,Negative,Positive,Positive,Negative,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
'rt @spd_33: ??apresento aqui a grande verdade‼️ #foraesquerda   https://tco/mpstxkkv7z',Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Neutral,Neutral,Positive,Positive,Positive,Positive
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
'rt @_defece: diário ♔davinianas   já saiu https://tco/szgsddndyb graças a @pdevechi @bluesettte22 @lord2k10 #cmdocma ',Neutral,Positive,Neutral,Neutral,Neutral,Positive,Positive,Negative,Positive,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Positive
'rt @iabsilva2: é muita cara de pau   https://tco/x5khtznh7t',Neutral,Neutral,Neutral,Neutral,Positive,Positive,Positive,Negative,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
'rt @iabsilva2: é muita cara de pau   https://tco/x5khtznh7t',Neutral,Neutral,Neutral,Neutral,Positive,Positive,Positive,Negative,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
'@taniagomide1 mas nem p bancar a espia kkkk ',Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive,Neutral,Negative,Neutral,Negative,Positive,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
'rt @_defece: diário ♔davinianas   já saiu https://tco/szgsddndyb graças a @pdevechi @bluesettte22 @lord2k10 #cmdocma ',Neutral,Positive,Neutral,Neutral,Neutral,Positive,Positive,Negative,Positive,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Positive
"""'@lulapelobrasil que xaropeconstruir pq vcs acabaram com o país né pt acabou , não adianta pedir adesão'""",Positive,Neutral,Negative,Neutral,Positive,Positive,Negative,Negative,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
'é amanhã que o mundo vai acabar para #lula ',Neutral,Neutral,Neutral,Positive,Positive,Positive,Negative,Positive,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Positive,Negative,Neutral,Neutral
"""'@ptbrasil ele tirou muitos milhões da pobreza, mas o juiz moro bloqueou esses milhões '""",Neutral,Negative,Positive,Negative,Positive,Positive,Negative,Negative,Negative,Neutral,Negative,Negative,Neutral,Neutral,Neutral,Negative,Negative,Neutral
"""'dos grandes intelectuais formadores de opiniao desse pais, e que defendem #minc, quantos tiveram o privilegio da lei rouanet '""",Positive,Positive,Neutral,Positive,Positive,Positive,Negative,Positive,Positive,Positive,Neutral,Positive,Neutral,Neutral,Positive,Positive,Positive,Neutral
'rt @paulacamara_: moro dá 15 dias a lula para provar que valores bloqueados são de marisa   https://tco/zql7jiuiqg https://t…',Neutral,Neutral,Positive,Neutral,Negative,Positive,Negative,Negative,Negative,Neutral,Negative,Positive,Neutral,Neutral,Neutral,Positive,Neutral,Positive
'rt @spd_33: ??apresento aqui a grande verdade‼️ #foraesquerda   https://tco/mpstxkkv7z',Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Neutral,Neutral,Positive,Positive,Positive,Positive
"""'@lulapelobrasil catrica, como tweetam asneiras nisso aqui ?????? '""",Negative,Negative,Neutral,Negative,Positive,Positive,Positive,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
'quanto mais ➕ eu me esforço menos ➖ eu consigo entender eles tudo podem o resto é opressor  #midiacontrabrasil https://tco/kgizhodmnl',Negative,Negative,Negative,Neutral,Negative,Positive,Negative,Negative,Negative,Neutral,Negative,Negative,Neutral,Neutral,Positive,Negative,Neutral,Neutral
"""'rt @jeffbatera: @marisascruz já tem meu apoio, eleições 2018 sem molusco candidato e voto no papel '""",Neutral,Positive,Neutral,Positive,Positive,Positive,Neutral,Negative,Positive,Positive,Negative,Positive,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
'@ptbrasil @lulapelobrasil como se ele não fosse responsável por tudo isso ',Neutral,Neutral,Neutral,Neutral,Positive,Positive,Negative,Neutral,Positive,Neutral,Negative,Positive,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
'rt @blogdotato67: #eleições em quem você votará para presidente em 2018   estará fora da disputa',Neutral,Neutral,Neutral,Neutral,Positive,Positive,Negative,Negative,Neutral,Negative,Negative,Positive,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
'rt @blogdotato67: #eleições em quem você votará para presidente em 2018   estará fora da disputa',Neutral,Neutral,Neutral,Neutral,Positive,Positive,Negative,Negative,Neutral,Negative,Negative,Positive,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
'pt em campanha para aumentar a quadrilha #naosealiste  https://tco/wajevtgn0o',Neutral,Neutral,Neutral,Neutral,Positive,Positive,Positive,Negative,Positive,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
'rt @ezequiasns:  https://tco/pafcyuzelx',Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
"""'o lula precisa se conscientizar que a vida de todo ladrão é assim: rouba muito, vive no luxo e morre na cadeia '""",Positive,Negative,Positive,Negative,Positive,Positive,Negative,Negative,Negative,Neutral,Positive,Negative,Neutral,Neutral,Negative,Positive,Negative,Neutral
'@josemedeirosmt deveriam substituir por fé na corrupção  ',Positive,Negative,Neutral,Neutral,Positive,Positive,Positive,Neutral,Positive,Negative,Neutral,Neutral,Neutral,Neutral,Positive,Negative,Neutral,Neutral
'bela foto #destruaoforodesp #esquerdanuncamais #vivaalvarodias  #nãoaoglobalismo https://tco/0izaytp8ps',Neutral,Positive,Positive,Positive,Neutral,Positive,Positive,Neutral,Neutral,Positive,Positive,Positive,Neutral,Neutral,Neutral,Positive,Positive,Positive
'#bandidobomébandidomorto #chegadenarcotráfico #destruaoforodesp #nãoàsfarc  #esquerdanuncamais #nãoaodesarmamento https://tco/nv3lr0yuh4',Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
"""'@jornaloglobo viche se entregou porque quem faz negociata pra mim, é mala rsrsrsrsr #comédia  #tchaupt'""",Neutral,Neutral,Neutral,Positive,Neutral,Positive,Positive,Negative,Negative,Neutral,Negative,Neutral,Neutral,Neutral,Negative,Positive,Neutral,Neutral
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
'@ricamconsult kkkkkkkk ',Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
'vão usar sobras de campanha que estão no exterior  https://tco/abrdqpf8sx',Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive,Neutral,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
'rt @carvaparecida:   //  chega de impunidade',Positive,Neutral,Negative,Neutral,Negative,Positive,Positive,Negative,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Negative
'rt @brunobpoeta69: ???? ladrão https://tco/mkipqwdnv1',Neutral,Negative,Negative,Negative,Neutral,Positive,Negative,Negative,Neutral,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Negative,Neutral
'@lulapelobrasil mas foi você e o pt que destruíram o país  ',Neutral,Negative,Neutral,Neutral,Positive,Positive,Negative,Neutral,Negative,Neutral,Negative,Negative,Neutral,Neutral,Positive,Positive,Negative,Neutral
'@lulapelobrasil votei no sim com certeza e vc https://tco/zdpiu0ocdh ',Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive,Neutral,Positive,Neutral,Positive,Positive,Neutral,Neutral,Positive,Negative,Positive,Neutral
"""'lula, réu pela 7ª vez, tirou do povo r$ 13,2 bilhões p/que o filho levasse r$ 25 milhões em propina https://tco/ybpf8s3pkp  https://tco/l'",Neutral,Negative,Neutral,Positive,Neutral,Positive,Negative,Negative,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
"""'@blogdojefferson eis maduroo bolivariano sanguinário,ditador,prepotente e caloteirocadê os vermelhos agora'""",Neutral,Negative,Negative,Positive,Negative,Positive,Neutral,Negative,Neutral,Negative,Positive,Negative,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
'@lulapelobrasil mentiroso  ',Negative,Negative,Neutral,Neutral,Neutral,Positive,Neutral,Neutral,Negative,Negative,Negative,Negative,Neutral,Neutral,Negative,Negative,Negative,Negative
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
' https://tco/kvilzzz5pc',Neutral,Positive,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
'está difícil a vida do companheilo  #lavajato   #nãotenhocorruptosdeestimação  https://tco/tgjfiegqsb via @uol',Negative,Negative,Negative,Positive,Negative,Positive,Negative,Negative,Negative,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
'rt @rosangela_bolze: nem plano a nem plano b @lulapelobrasil @ptbrasil   plano c de cadeia   @trf4_oficial @jfpr_oficial… ',Neutral,Neutral,Neutral,Neutral,Positive,Positive,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
"""'né já passou da hora, né  https://tco/kdssnsc6lf'""",Positive,Neutral,Positive,Positive,Positive,Positive,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Positive,Neutral,Neutral
'@milton_de_cinza @jornaloglobo primeiramente:  e se vc está ou não no brasil tanto faz aki vc esta no twitter q é terra d ninguém  https:/',Neutral,Neutral,Neutral,Positive,Neutral,Positive,Negative,Negative,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
"""'rt @ritaoli36702816: né já passou da hora, né  https://tco/kdssnsc6lf'""",Positive,Neutral,Positive,Positive,Positive,Positive,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Positive,Neutral,Neutral
' https://tco/hr3td0el2g',Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
"""'rt @ritaoli36702816: né já passou da hora, né  https://tco/kdssnsc6lf'""",Positive,Neutral,Positive,Positive,Positive,Positive,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Positive,Neutral,Neutral
'rt @lamaro2antonio:  https://tco/hr3td0el2g',Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
'@sandrarcreyes não pode ficar pedra sobre pedra ',Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive,Neutral,Neutral,Neutral,Positive,Negative,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
'rt @luiztenda: @sandrarcreyes não pode ficar pedra sobre pedra ',Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive,Negative,Neutral,Neutral,Positive,Negative,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
