Original Lines,OPINIONLEXICON,SENTISTRENGTH,SOCAL,HAPPINESSINDEX,SANN,EMOTICONSDS,SENTIMENT140,STANFORD,AFINN,MPQA,NRCHASHTAG,EMOLEX,EMOTICONS,PANAST,SASA,SENTIWORDNET,VADER,UMIGON
'rt @dilmaresiste: veja o que bolsonaro responde ao ser preguntado sobre economia como pode querer ser presidente ��_ ';;,Neutral,Neutral,Neutral,Neutral,Positive,Positive,Negative,Negative,Positive,Positive,Negative,Positive,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
'rt @dilmaresiste: parte1 a tv al jazeera desvenda como a @redeglobo refor̤a preconceitos e estere�_tipos ��_ ';;,Negative,Negative,Negative,Neutral,Positive,Positive,Positive,Negative,Neutral,Negative,Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
"'@dilmaresiste golpe treina para criar base militar com os eua, col̫mbia e peru na amaz̫nia  #lulaporminasgerais';;",Negative,Positive,Negative,Neutral,Positive,Positive,Positive,Negative,Negative,Neutral,Positive,Positive,Neutral,Neutral,Positive,Positive,Neutral,Neutral
'rt @gleisi: lindo ato na pra̤a da esta̤̣o em belo horizonte encerramento da caravana #lulaporminasgerais  https://tco/sec5��_';;,Positive,Positive,Positive,Positive,Neutral,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Neutral,Neutral,Neutral,Positive,Positive,Positive
"'rt @gleisi: ato com lula em belo horizonte, minas gerais #lulaporminasgerais  https://tco/aqimybajw8';;",Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Negative,Negative,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
'rt @andretelesur: @lulapelobrasil acaba de llegar al acto  https://tco/q5cmyqxk9y';;,Neutral,Neutral,Positive,Neutral,Positive,Positive,Negative,Negative,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Positive,Positive,Neutral,Neutral
"'rt @gleisi: ato de encerramento da caravana #lulaporminasgerais, ao vivo em belo horizonte  https://tco/wuhh8uzax0';;",Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Negative,Negative,Neutral,Neutral,Positive,Positive,Neutral,Neutral,Positive,Positive,Neutral,Neutral
"'rt @gleisi: participo de ato em bocai̼va-mg, com lula #lulaporminasgerais  https://tco/hqtmsfajy5';;",Neutral,Neutral,Neutral,Neutral,Positive,Positive,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
'rt @gleisi: #aovivo | a caravana lula pelo brasil chega agora a montes claros - mg #lulaporminasgerais  https://tco/bayhn4��_';;,Neutral,Neutral,Neutral,Neutral,Positive,Positive,Positive,Negative,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
'rt @gleisi: j�� j�� come̤a aqui em montes claros #lulaporminasgerais  https://tco/sugvon6old';;,Neutral,Neutral,Neutral,Neutral,Positive,Positive,Positive,Negative,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
'rt @gleisi: ���isto ̩�۝ fiasco para voc̻  #lulaporminasgerais https://tco/nywwdovksh';;,Negative,Negative,Negative,Neutral,Negative,Positive,Positive,Negative,Negative,Negative,Neutral,Negative,Neutral,Neutral,Positive,Negative,Negative,Neutral
"'rt @annalugama: campanha de financiamento coletivo para a caravana  seja companheiro fa̤a sua doa̤̣o online, acesse��_ ';;",Neutral,Neutral,Positive,Neutral,Neutral,Positive,Negative,Negative,Neutral,Neutral,Negative,Positive,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
"'rt @dilmaresiste: brasil treina para criar base militar com os eua, col̫mbia e peru na amaz̫nia  #lulaporminasgerais https:/��_';;",Neutral,Positive,Positive,Neutral,Neutral,Positive,Positive,Negative,Neutral,Neutral,Positive,Positive,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
"'rt @annalugama: campanha de financiamento coletivo para a caravana  seja companheiro fa̤a sua doa̤̣o online, acesse��_ ';;",Neutral,Neutral,Positive,Neutral,Neutral,Positive,Negative,Negative,Neutral,Neutral,Negative,Positive,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
'rt @dilmaresiste: parte1 a tv al jazeera desvenda como a @redeglobo refor̤a preconceitos e estere�_tipos ��_ ';;,Negative,Negative,Negative,Neutral,Positive,Positive,Positive,Negative,Neutral,Negative,Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
'rt @marivoneprof: sono veio e vou com ele �_tima 6� aos amigos que apoiam  _�ԍ #finadalavajato _��� zzzzzzzzz_��� https://tco/w��_';;,Positive,Positive,Positive,Positive,Positive,Positive,Positive,Negative,Positive,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Positive,Positive,Neutral
"'rt @dilmaresiste: deputados da inglaterra, esc�_cia e eua dizem que moro ̩ alinhado com psdb/pmdb  https://tco/ckdwbivcad';;",Neutral,Neutral,Neutral,Neutral,Positive,Positive,Negative,Negative,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,Positive,Positive,Neutral,Neutral
"'rt @dilmaresiste: deputados da inglaterra, esc�_cia e eua dizem que moro ̩ alinhado com psdb/pmdb  https://tco/ckdwbivcad';;",Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Negative,Negative,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,Positive,Positive,Neutral,Neutral
'rt @gleisi: ���isto ̩�۝ fiasco para voc̻  #lulaporminasgerais https://tco/nywwdovksh';;,Negative,Negative,Negative,Neutral,Negative,Positive,Positive,Negative,Negative,Negative,Neutral,Negative,Neutral,Neutral,Positive,Negative,Negative,Neutral
'rt @gleisi: ���isto ̩�۝ fiasco para voc̻  #lulaporminasgerais https://tco/nywwdovksh';;,Negative,Negative,Negative,Neutral,Negative,Positive,Positive,Negative,Negative,Negative,Neutral,Negative,Neutral,Neutral,Positive,Negative,Negative,Neutral
'novamente https://tco/pz9tufmnov';;,Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Neutral,Neutral
'parte1 entenda os efeitos nefastos da ref trabalhista foi p/isso q @fiesp @redeglobo patrocinaram golpe rumo �� escraviḍo  https://tco/ishdr',Negative,Negative,Negative,Neutral,Positive,Positive,Neutral,Negative,Neutral,Negative,Negative,Neutral,Negative,Neutral,Neutral,Negative,Neutral,Neutral
"'rt @dilmaresiste: deputados da inglaterra, esc�_cia e eua dizem que moro ̩ alinhado com psdb/pmdb  https://tco/ckdwbivcad';;",Neutral,Neutral,Neutral,Neutral,Positive,Positive,Negative,Negative,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,Positive,Positive,Neutral,Neutral
'efeitos nefastos da reforma trabalhista  #lulaporminasgerais foi pra isso que a @fiesp e https://tco/zgdnmyqm9h';;,Positive,Negative,Negative,Neutral,Positive,Positive,Negative,Negative,Negative,Neutral,Negative,Positive,Neutral,Neutral,Neutral,Negative,Negative,Neutral
'parte2 entenda os efeitos nefastos da ref trabalhista foi p/isso q @fiesp @redeglobo patrocinaram golpe rumo �� escraviḍo  https://tco/bpnke',Negative,Negative,Negative,Neutral,Positive,Positive,Neutral,Negative,Neutral,Negative,Negative,Neutral,Negative,Neutral,Neutral,Negative,Neutral,Neutral
'rt @dilmaresiste: efeitos nefastos da reforma trabalhista  #lulaporminasgerais foi pra isso que a @fiesp e https://tco/z��_';;,Positive,Negative,Negative,Neutral,Positive,Positive,Neutral,Negative,Neutral,Negative,Negative,Positive,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
' https://tco/o04pfqmzx9';;,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
' https://tco/e9hx95mmge';;,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
'rt @ptbrasil: olha a multiḍo no ato de encerramento da caravana de minas gerais  #lulaporminasgerais foto: ricard��_ ';;,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Positive,Negative,Neutral,Neutral,Positive,Positive,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
'rt @gleisi: ���isto ̩�۝ fiasco para voc̻  #lulaporminasgerais https://tco/nywwdovksh';;,Negative,Negative,Negative,Neutral,Negative,Positive,Positive,Negative,Negative,Negative,Neutral,Negative,Neutral,Neutral,Positive,Negative,Negative,Neutral
'rt @gleisi: ���isto ̩�۝ fiasco para voc̻  #lulaporminasgerais https://tco/nywwdovksh';;,Negative,Negative,Negative,Neutral,Negative,Positive,Positive,Negative,Negative,Negative,Neutral,Negative,Neutral,Neutral,Positive,Negative,Negative,Neutral
'rt @gleisi: ���isto ̩�۝ fiasco para voc̻  #lulaporminasgerais https://tco/nywwdovksh';;,Negative,Negative,Negative,Neutral,Negative,Positive,Positive,Negative,Negative,Negative,Neutral,Negative,Neutral,Neutral,Positive,Negative,Negative,Neutral
'retweeted gleisi hoffmann (@gleisi):  ���isto ̩�۝ fiasco para voc̻  #lulaporminasgerais https://tco/idr1v9mmfy';;,Negative,Negative,Negative,Neutral,Negative,Positive,Positive,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Positive,Negative,Negative,Neutral
'rt @dilmaresiste: homem bomba de sergio moro ser�� ouvido na cpmi da jbs  #lulaporminasgerais o bicho vai pegar #dr https��_';;,Negative,Negative,Neutral,Negative,Positive,Positive,Negative,Negative,Negative,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
"'rt @dilmaresiste: brasil treina para criar base militar com os eua, col̫mbia e peru na amaz̫nia  #lulaporminasgerais https:/��_';;",Neutral,Positive,Positive,Neutral,Neutral,Positive,Positive,Negative,Neutral,Neutral,Positive,Positive,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
'rt @ptnacamara: campanha de arrecada̤̣o online da caravana  acesse: https://tco/5aslmbgm8h https://tco/jtkfcdvh5n';;,Neutral,Positive,Positive,Neutral,Positive,Positive,Positive,Negative,Positive,Positive,Positive,Positive,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
'rt @gleisi: ���isto ̩�۝ fiasco para voc̻  #lulaporminasgerais https://tco/nywwdovksh';;,Negative,Negative,Negative,Neutral,Negative,Positive,Positive,Negative,Negative,Negative,Neutral,Negative,Neutral,Neutral,Positive,Negative,Negative,Neutral
'rt @gleisi: ���isto ̩�۝ fiasco para voc̻  #lulaporminasgerais https://tco/nywwdovksh';;,Negative,Negative,Negative,Neutral,Negative,Positive,Positive,Negative,Negative,Negative,Neutral,Negative,Neutral,Neutral,Positive,Negative,Negative,Neutral
'rt @dilmaresiste: efeitos nefastos da reforma trabalhista  #lulaporminasgerais foi pra isso que a @fiesp e https://tco/z��_';;,Positive,Negative,Negative,Neutral,Positive,Positive,Neutral,Negative,Neutral,Negative,Negative,Positive,Neutral,Neutral,Neutral,Negative,Neutral,Neutral
'rt @gleisi: ���isto ̩�۝ fiasco para voc̻  #lulaporminasgerais https://tco/nywwdovksh';;,Negative,Negative,Negative,Neutral,Negative,Positive,Positive,Negative,Negative,Negative,Neutral,Negative,Neutral,Neutral,Positive,Negative,Negative,Neutral
'rt @dilmaresiste: o ��udio da entrevista de tacla duran com wadih e paulo pimenta  #lulaporminasgerais #dr dilma https://t��_';;,Neutral,Neutral,Neutral,Neutral,Positive,Positive,Positive,Negative,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
'rt @gleisi: ���isto ̩�۝ fiasco para voc̻  #lulaporminasgerais https://tco/nywwdovksh';;,Negative,Negative,Negative,Neutral,Negative,Positive,Positive,Negative,Negative,Negative,Neutral,Negative,Neutral,Neutral,Positive,Negative,Negative,Neutral
'rt @dilmaresiste: o ��udio da entrevista de tacla duran com wadih e paulo pimenta  #lulaporminasgerais #dr dilma https://t��_';;,Neutral,Neutral,Neutral,Neutral,Positive,Positive,Positive,Negative,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
"'rt @dilmaresiste: deputados da inglaterra, esc�_cia e eua dizem que moro ̩ alinhado com psdb/pmdb  https://tco/ckdwbivcad';;",Neutral,Neutral,Neutral,Neutral,Positive,Positive,Negative,Negative,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,Positive,Positive,Neutral,Neutral
"'rt @dilmaresiste: deputados da inglaterra, esc�_cia e eua dizem que moro ̩ alinhado com psdb/pmdb  https://tco/ckdwbivcad';;",Neutral,Neutral,Neutral,Neutral,Positive,Positive,Negative,Negative,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,Positive,Positive,Neutral,Neutral
'rt @dilmaresiste: parte3 a tv al jazeera desvenda como a @redeglobo refor̤a preconceitos e estere�_tipos ��_ ';;,Negative,Negative,Negative,Neutral,Positive,Positive,Positive,Negative,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
"'rt @dilmaresiste: deputados da inglaterra, esc�_cia e eua dizem que moro ̩ alinhado com psdb/pmdb  https://tco/ckdwbivcad';;",Neutral,Neutral,Neutral,Neutral,Positive,Positive,Negative,Negative,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,Positive,Positive,Neutral,Neutral
