Original Lines,OPINIONLEXICON,SENTISTRENGTH,SOCAL,HAPPINESSINDEX,SANN,EMOTICONSDS,SENTIMENT140,STANFORD,AFINN,MPQA,NRCHASHTAG,EMOLEX,EMOTICONS,PANAST,SASA,SENTIWORDNET,VADER,UMIGON
texto;;,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Positive,Neutral,Neutral,Neutral
'rt @ptrenatosimoes:  https://tco/xklcsw6lyf';;,Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
'rt @ptrj13:  https://tco/tiilq8ytkl';;,Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
"'rt @dilmaresiste: com supremo com tudo oṳa o hit do golpe, de os trabalhistas que descreve todos os seis passos ��_ ';;",Positive,Positive,Positive,Negative,Neutral,Positive,Negative,Negative,Neutral,Neutral,Positive,Positive,Neutral,Neutral,Neutral,Positive,Positive,Negative
'rt @dilmaresiste: dilma lidera pesquisa para o senado em minas   roberto stuckert filho/pr | jefferson https://��_';;,Positive,Neutral,Neutral,Neutral,Positive,Positive,Negative,Negative,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
'os crimes dos moros revelados  por isso a blindagem da m�_dia e  persegui̤̣o ao lula #quintadetremurasdv #brasilqueopovoquer  https://tco/yv',Negative,Negative,Negative,Neutral,Neutral,Positive,Negative,Negative,Neutral,Negative,Positive,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
'rt @marivoneprof: sono veio e vou com ele �_tima 4� aos amigos que apoiam  _�ԍ #lulalideremtodaspesquisas _�ԏ_�ԏ_�ԏ_�ԏ_�ԏ_�ԏ _���_��__',Positive,Positive,Positive,Positive,Neutral,Positive,Positive,Negative,Positive,Positive,Negative,Neutral,Neutral,Neutral,Neutral,Positive,Positive,Neutral
'@dcm_online parab̩ns nassif esse cambalachos dos moro c/ propina nas dela̵̤es tem que ser implodido #quintadetremurasdv  #brasilqueopovoque',Neutral,Negative,Neutral,Neutral,Positive,Positive,Negative,Negative,Negative,Neutral,Negative,Negative,Neutral,Neutral,Positive,Positive,Neutral,Neutral
"'rt @dilmaresiste: com supremo com tudo oṳa o hit do golpe, de os trabalhistas que descreve todos os seis passos ��_ ';;",Positive,Positive,Positive,Negative,Neutral,Positive,Negative,Negative,Neutral,Neutral,Positive,Positive,Neutral,Neutral,Neutral,Positive,Positive,Negative
' no lan̤amento da plataforma #obrasilqueopovoquer e defende pol�_ticas de melhorar o consumo do povo para melhorar economia https://tco/vujui',Positive,Positive,Positive,Positive,Neutral,Positive,Negative,Negative,Positive,Neutral,Negative,Positive,Neutral,Neutral,Positive,Positive,Positive,Positive
