Original Lines,OPINIONLEXICON,SENTISTRENGTH,SOCAL,HAPPINESSINDEX,SANN,EMOTICONSDS,SENTIMENT140,STANFORD,AFINN,MPQA,NRCHASHTAG,EMOLEX,EMOTICONS,PANAST,SASA,SENTIWORDNET,VADER,UMIGON
"""'cadê o   daqui a pouco vc vai ser investigado também, abre o olho https://tco/ownrphk35l'""",Neutral,Neutral,Negative,Neutral,Negative,Positive,Positive,Neutral,Neutral,Negative,Negative,Neutral,Neutral,Neutral,Negative,Negative,Neutral,Neutral
'rt @paulacamara_: lula por minas gerais - na praça 7   https://tco/cvkhraoymk',Neutral,Neutral,Neutral,Negative,Neutral,Positive,Neutral,Negative,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
'absurdo é  ainda ter prefeito eleito  #nãoaoplc28 https://tco/8dpba8rn7f',Neutral,Negative,Negative,Negative,Neutral,Positive,Negative,Negative,Neutral,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Negative
'1 ano de cadeia refresca a memória de qualquer vagabundo #funaro #delator #foratemer  https://tco/8sw1n1vzk1',Positive,Negative,Positive,Positive,Neutral,Positive,Negative,Negative,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,Negative,Negative,Neutral,Positive
'isso poucos tem coragem de dizer assista: https://tco/ji1p8jvxla #intervencaomilitarja  #corruptosnacadeia https://tco/rpz2bv9tzt',Positive,Negative,Positive,Positive,Positive,Positive,Positive,Neutral,Positive,Neutral,Negative,Positive,Neutral,Neutral,Positive,Negative,Neutral,Neutral
'@exame o #brasil está tipo mulher que apanha mais gosta ',Positive,Positive,Neutral,Positive,Positive,Positive,Negative,Neutral,Positive,Neutral,Negative,Neutral,Neutral,Neutral,Negative,Neutral,Neutral,Neutral
'@mblivre @gleisi @lindberghfarias #nãoaoplc28  ',Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
'rt @ficorpedro: absurdo é  ainda ter prefeito eleito  #nãoaoplc28 https://tco/8dpba8rn7f',Negative,Negative,Negative,Negative,Negative,Positive,Negative,Negative,Negative,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Negative
"""'#nãoaoplc28 e  nas eleições de 2018 daremoos a nossa resposta nas urnas aí pt e seus satélites, destruidores do brasil'""",Neutral,Negative,Negative,Neutral,Neutral,Positive,Negative,Negative,Neutral,Neutral,Positive,Positive,Neutral,Neutral,Neutral,Positive,Negative,Neutral
"""'rt @wilsondias11: #nãoaoplc28 e  nas eleições de 2018 daremoos a nossa resposta nas urnas aí pt e seus satélites, destruidores do br…''",Neutral,Negative,Negative,Neutral,Neutral,Positive,Negative,Negative,Neutral,Neutral,Positive,Positive,Neutral,Neutral,Neutral,Positive,Negative,Neutral
'@dilmabr  não demora ;)',Negative,Neutral,Neutral,Neutral,Neutral,Positive,Negative,Neutral,Negative,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Positive
"""'rt @06pitalo: @blogdojefferson   algemem logo o lula, antes que ele algeme o brasil'""",Neutral,Neutral,Neutral,Neutral,Positive,Positive,Neutral,Negative,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Negative,Negative,Neutral,Neutral
'o pt tem corrupção até em fotos  https://tco/7gowo9bpfe',Negative,Negative,Negative,Neutral,Negative,Positive,Negative,Negative,Neutral,Neutral,Negative,Negative,Neutral,Neutral,Positive,Positive,Neutral,Neutral
"""'@uimarv lula, aquele cabra $afado, enganou até o bolsonaro no passado '""",Negative,Negative,Neutral,Neutral,Positive,Positive,Negative,Negative,Negative,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
'rt @jwellingtonmelo: o pt tem corrupção até em fotos  https://tco/7gowo9bpfe',Negative,Negative,Negative,Neutral,Negative,Positive,Negative,Negative,Neutral,Neutral,Negative,Negative,Neutral,Neutral,Neutral,Positive,Neutral,Neutral
