idTweet,idUser,geo,place,tweetCount,lang,text,replyCount,favorite_count
910874467206881280,578126348,,,0.0,pt,"@odimau @gduvivier não adianta: pelegos do pt têm merda na cabeça.  gosta de comunista ladrão?vai pra cuba ver o que é""bom"" #bolsonaro2018 https://t.co/kcjp1avx9m",0.0,0.0
910875643675598853,244722293,,,0.0,und,#facebookmelhorredesossial #brasilqueopovoquer  #estudar #aprender #seralguemnavida #trabalhar    #quintadetremurasdv https://t.co/hvh93sxywf,0.0,0.0
910875878678253569,870997440022839296,,,0.0,pt,#brasilqueopovoquer é com  juntamente com outros. quem tem medo de intervenção militar é só político corrupto. #bolsonaro2018,0.0,0.0
910876031363551234,2525592608,,,0.0,und, https://t.co/gbdrjtlvyo,0.0,0.0
910876071154929671,69866064,,,0.0,und,  #lulainelegivel https://t.co/qa0lybp8sv,0.0,0.0
910876410415378432,155674026,,,0.0,und,rt @titoporto10: #brasilqueopovoquer  https://t.co/ksr65ebc2b,0.0,0.0
910876872283709441,2525592608,,,0.0,pt,@uolnoticias #brasilopaisdaimpinidade @uolnoticias vcs deveriam ter vergonha sem anunciar isto!  safado corrupto beneficiado pela impunidade https://t.co/okeais88gr,0.0,0.0
910877760956108801,112680568,,,0.0,pt,"puta que pariu, abaixa essa bandeira e levanta a do brasil!!  #oportunista  #lulaparasita... https://t.co/nlkzycxgq0",0.0,0.0
910878424079749120,55986398,,,0.0,und,rt @ezequiasns:  https://t.co/wynqtnn3jy,0.0,0.0
910878877471399936,488374657,,,0.0,es,rt @titoporto10:  corrupto basta de impunidade @mariamcastanha @lourdesflintz @luciamoura00 @elianegsegui @macunaimaz… ,0.0,0.0
910879473851142144,2603672078,,,0.0,und,rt @ezequiasns:  https://t.co/wynqtnn3jy,0.0,0.0
910879478519418880,724308761247113218,,,0.0,pt,"@roxmo em país decente esse ladrão já estaria preso, mas vivemos num país onde políticos não são presos, as leis não os alcançam. ",0.0,0.0
910879525558472704,773191858910560256,,,0.0,und,@esuplicy @lulapelobrasil ,0.0,0.0
910879598904266752,2603672078,,,0.0,und,rt @ezequiasns:  https://t.co/wynqtnn3jy,0.0,0.0
